FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
4,2,H,3,0,H,1.57,4.0,5.5,1.57,3.75,5.5,1.55,3.7,5.0,1.57,3.5,5.0,1.55,3.6,5.5,1.6,3.4,4.8
7,0,H,3,0,H,1.36,4.75,8.5,1.35,4.5,8.0,1.3,4.4,8.5,1.33,4.33,7.0,1.33,4.5,8.0,1.3,4.5,7.5
4,0,H,2,0,H,1.66,3.75,5.0,1.67,3.5,5.0,1.65,3.5,4.5,1.67,3.4,4.33,1.6,3.6,5.0,1.62,3.5,4.5
0,1,A,0,0,D,2.5,3.5,2.62,2.75,3.75,2.7,2.6,3.2,2.4,2.5,3.2,2.5,2.5,3.2,2.6,2.4,3.1,2.6
0,2,A,0,1,A,2.4,3.75,2.62,2.45,3.6,2.55,2.3,3.5,2.5,2.62,3.4,2.25,2.4,3.5,2.5,2.25,3.6,2.5
2,2,D,0,1,A,1.55,4.2,5.5,1.55,4.0,5.25,1.5,3.8,5.5,1.5,3.6,5.5,1.5,4.2,5.0,1.5,3.8,5.0
2,2,D,2,1,H,1.57,3.8,6.0,1.6,3.6,5.75,1.6,3.6,4.8,1.53,3.5,5.5,1.6,3.75,4.75,1.53,3.5,5.5
2,2,D,0,0,D,4.5,3.5,1.8,4.0,3.4,1.85,3.6,3.2,1.9,3.75,3.3,1.8,4.0,3.4,1.8,4.2,3.25,1.73
0,3,A,0,1,A,2.4,3.3,2.9,2.5,3.2,2.75,2.3,3.3,2.6,2.2,3.25,2.75,2.45,3.25,2.6,2.4,3.1,2.6
1,0,H,1,0,H,2.2,3.3,3.25,2.2,3.25,3.2,2.2,3.1,3.0,2.1,3.2,3.0,2.05,3.25,3.25,2.1,3.2,3.0
2,3,A,1,2,A,2.05,3.3,3.6,2.05,3.3,3.5,2.0,3.3,3.2,1.91,3.25,3.4,1.95,3.25,3.6,1.95,3.1,3.5
3,0,H,2,0,H,1.57,3.8,6.0,1.6,3.6,5.6,1.6,3.6,4.8,1.57,3.5,5.0,1.55,3.75,5.2,1.6,3.4,4.8
2,1,H,0,1,A,1.62,3.6,6.0,1.63,3.6,5.5,1.6,3.6,4.8,1.57,3.5,5.0,1.55,3.75,5.2,1.57,3.5,5.0
0,2,A,0,1,A,2.35,3.3,3.0,2.35,3.15,3.0,2.2,3.3,2.8,2.2,3.25,2.75,2.25,3.2,2.9,2.2,3.2,2.8
1,3,A,0,3,A,2.75,3.3,2.5,2.7,3.2,2.55,2.5,3.2,2.5,2.75,3.25,2.2,2.55,3.2,2.5,2.6,3.1,2.4
0,0,D,0,0,D,1.62,3.6,6.0,1.63,3.5,5.5,1.65,3.5,4.5,1.62,3.5,4.5,1.6,3.6,5.0,1.57,3.5,5.0
1,1,D,1,0,H,3.4,3.25,2.15,3.25,3.25,2.15,2.9,3.2,2.2,3.4,3.25,1.91,3.2,3.2,2.1,3.3,3.25,1.95
2,1,H,1,0,H,1.4,4.33,8.5,1.45,4.0,7.0,1.5,3.8,5.5,1.44,3.6,6.5,1.45,3.9,6.5,1.36,4.0,7.0
1,1,D,1,1,D,1.67,3.6,5.5,1.65,3.5,5.25,1.65,3.5,4.5,1.57,3.5,5.0,1.7,3.4,4.5,1.53,3.5,5.5
1,0,H,1,0,H,2.05,3.3,3.6,2.05,3.25,3.5,1.9,3.2,3.6,1.91,3.25,3.4,1.9,3.25,3.75,1.91,3.2,3.5
0,2,A,0,1,A,1.91,3.4,4.0,1.95,3.3,3.75,1.9,3.3,3.5,1.8,3.3,3.75,1.85,3.4,3.75,1.91,3.2,3.5
1,1,D,0,0,D,2.0,3.3,3.8,2.0,3.3,3.6,2.0,3.2,3.3,1.91,3.25,3.4,2.0,3.25,3.4,1.83,3.2,3.75
2,2,D,1,0,H,2.88,3.3,2.4,2.9,3.25,2.35,2.7,3.2,2.3,2.75,3.25,2.2,2.7,3.25,2.35,2.8,3.2,2.2
1,1,D,1,0,H,2.25,3.3,3.1,2.25,3.2,3.1,2.2,3.2,2.9,2.2,3.25,2.75,2.15,3.25,3.05,2.25,3.2,2.75
0,2,A,0,0,D,2.1,3.3,3.5,2.1,3.2,3.3,2.2,3.1,3.0,1.91,3.25,3.4,2.05,3.25,3.25,1.95,3.25,3.3
2,4,A,2,1,H,3.8,3.3,2.0,3.5,3.25,2.0,3.2,3.1,2.1,3.4,3.25,1.91,3.4,3.25,2.0,3.5,3.2,1.91
0,1,A,0,1,A,3.5,3.3,2.1,3.3,3.25,2.1,3.2,3.1,2.1,3.0,3.2,2.1,3.2,3.2,2.1,3.1,3.2,2.05
5,2,H,3,1,H,1.73,3.75,4.5,1.8,3.3,4.25,1.7,3.4,4.3,1.8,3.3,3.75,1.8,3.4,4.0,1.67,3.4,4.33
3,2,H,2,0,H,4.33,3.5,1.83,4.0,3.3,1.85,3.6,3.2,1.9,3.75,3.3,1.8,3.75,3.4,1.85,4.2,3.25,1.73
1,0,H,1,0,H,1.4,4.33,8.5,1.45,4.0,7.5,1.45,3.7,6.5,1.36,4.0,7.0,1.35,4.2,8.0,1.4,3.75,7.0
2,2,D,1,1,D,1.67,3.6,5.25,1.67,3.5,5.0,1.65,3.5,4.5,1.62,3.5,4.5,1.55,3.6,5.5,1.6,3.4,4.8
4,1,H,1,0,H,1.36,4.5,9.0,1.45,4.0,7.5,1.4,4.0,6.5,1.36,4.0,7.0,1.35,4.2,8.0,1.4,3.75,7.0
2,0,H,2,0,H,1.8,3.5,4.5,1.8,3.3,4.5,1.6,3.6,4.8,1.73,3.4,4.0,1.7,3.4,4.5,1.67,3.4,4.33
3,3,D,0,2,A,2.6,3.25,2.7,2.6,3.25,2.6,2.55,3.1,2.55,2.5,3.25,2.4,2.45,3.3,2.55,2.5,2.9,2.62
0,3,A,0,0,D,5.5,3.8,1.62,5.25,3.5,1.67,4.3,3.4,1.7,5.0,3.5,1.57,5.0,3.6,1.6,5.0,3.5,1.57
3,2,H,1,2,A,2.05,3.4,3.6,2.05,3.25,3.5,1.9,3.2,3.6,1.91,3.25,3.4,2.0,3.25,3.4,2.0,3.2,3.2
2,2,D,0,1,A,2.3,3.3,3.1,2.3,3.25,2.9,2.3,3.2,2.7,2.2,3.25,2.75,2.35,3.25,2.7,2.25,3.2,2.75
0,0,D,0,0,D,3.0,3.3,2.38,2.8,3.25,2.4,2.6,3.2,2.4,2.75,3.2,2.25,2.6,3.25,2.45,2.75,3.2,2.25
3,0,H,0,0,D,1.29,5.0,11.0,1.3,5.0,10.0,1.3,4.4,8.5,1.25,4.5,10.0,1.3,4.5,9.0,1.29,4.5,8.0
2,0,H,2,0,H,1.91,3.4,4.0,1.95,3.3,3.75,2.0,3.2,3.3,1.91,3.25,3.4,1.9,3.4,3.6,1.91,3.2,3.5
5,1,H,2,0,H,2.0,3.4,3.75,1.9,3.4,3.8,1.9,3.2,3.6,1.8,3.3,3.75,1.9,3.4,3.6,1.95,3.25,3.3
4,0,H,2,0,H,1.67,3.6,5.25,1.7,3.5,4.75,1.65,3.5,4.5,1.73,3.4,4.0,1.7,3.4,4.5,1.7,3.6,5.0
2,5,A,0,2,A,1.73,3.5,5.0,1.75,3.5,4.5,1.65,3.5,4.5,1.62,3.5,4.5,1.75,3.4,4.2,1.67,3.3,4.5
2,0,H,0,0,D,2.3,3.3,3.1,2.35,3.25,2.85,2.25,3.2,2.8,2.2,3.25,2.75,2.3,3.2,2.8,2.2,3.2,2.8
1,1,D,1,0,H,2.4,3.3,2.9,2.4,3.2,2.8,2.3,3.2,2.7,2.25,3.2,2.75,2.3,3.2,2.8,2.3,3.2,2.62
0,1,A,0,1,A,2.4,3.3,2.9,2.4,3.2,2.8,2.3,3.2,2.7,2.2,3.25,2.75,2.3,3.2,2.8,2.3,3.2,2.62
1,0,H,1,0,H,1.44,4.2,7.5,1.5,3.75,6.5,1.45,3.9,6.0,1.44,3.6,6.5,1.45,3.75,6.75,1.5,3.4,6.0
4,1,H,2,0,H,2.5,3.25,2.8,2.5,3.3,2.6,2.5,3.2,2.5,2.38,3.2,2.6,2.45,3.25,2.6,2.4,3.1,2.6
3,1,H,1,1,D,1.57,3.8,6.0,1.57,3.5,6.0,1.55,3.7,5.0,1.53,3.5,5.5,1.55,3.6,5.5,1.53,3.5,5.5
3,0,H,3,0,H,2.4,3.3,2.9,2.5,3.3,2.6,2.4,3.1,2.7,2.38,3.2,2.6,2.4,3.2,2.7,2.3,3.2,2.62
1,0,H,1,0,H,4.75,3.75,1.73,4.1,3.4,1.85,4.0,3.2,1.8,3.6,3.3,1.83,3.8,3.5,1.8,4.0,3.4,1.73
2,3,A,0,2,A,3.5,3.3,2.1,3.25,3.25,2.15,2.9,3.2,2.2,2.8,3.2,2.2,3.0,3.2,2.2,2.9,3.2,2.15
3,0,H,2,0,H,2.38,3.3,2.9,2.45,3.2,2.75,2.3,3.2,2.7,2.25,3.2,2.75,2.35,3.2,2.75,2.38,3.1,2.62
1,0,H,1,0,H,1.44,4.2,7.5,1.44,3.75,8.0,1.4,4.0,6.5,1.44,3.6,6.5,1.45,3.75,6.75,1.4,3.75,7.0
1,0,H,1,0,H,7.0,3.8,1.5,6.75,3.5,1.55,5.0,3.7,1.55,5.0,3.5,1.57,5.5,3.6,1.55,5.5,3.6,1.5
0,1,A,0,1,A,1.57,3.75,6.0,1.6,3.6,5.5,1.6,3.6,4.8,1.57,3.5,5.0,1.6,3.5,5.25,1.5,3.4,6.0
5,4,H,4,2,H,1.44,4.33,7.0,1.47,4.0,6.75,1.45,3.9,6.0,1.4,3.75,7.0,1.5,3.6,6.25,1.44,3.75,6.0
1,1,D,0,1,A,1.95,3.3,4.0,1.9,3.3,4.0,1.9,3.2,3.6,1.8,3.3,3.75,1.9,3.25,3.75,1.91,3.2,3.5
2,1,H,0,0,D,3.1,3.3,2.3,3.0,3.25,2.25,2.7,3.2,2.3,2.75,3.2,2.25,2.9,3.2,2.25,2.75,3.2,2.25
1,2,A,0,1,A,2.25,3.25,3.2,2.25,3.2,3.1,2.1,3.1,3.2,2.2,3.3,3.2,2.15,3.2,3.1,2.2,3.3,3.3
3,3,D,2,1,H,1.25,5.5,12.0,1.25,5.25,11.0,1.25,4.8,9.5,1.25,4.5,10.0,1.25,5.0,10.0,1.25,4.5,10.0
2,1,H,0,0,D,1.7,3.6,4.75,1.73,3.5,4.5,1.7,3.4,4.3,1.73,3.4,4.0,1.65,3.4,5.0,1.67,3.4,4.33
0,1,A,0,0,D,1.62,3.6,6.0,1.65,3.5,5.25,1.6,3.6,4.8,1.62,3.5,4.5,1.6,3.5,5.2,1.57,3.5,5.0
1,2,A,1,1,D,2.25,3.3,3.2,2.2,3.2,3.2,2.2,3.2,2.9,2.2,3.25,2.75,2.2,3.2,3.0,2.2,3.2,2.8
4,1,H,2,0,H,2.5,3.4,2.7,2.5,3.25,2.7,2.5,3.2,2.5,2.38,3.2,2.6,2.5,3.2,2.6,2.38,3.3,2.5
1,2,A,0,0,D,3.75,3.4,2.0,3.6,3.3,2.0,3.3,3.2,2.0,3.4,3.25,1.91,3.75,3.25,1.9,3.5,3.2,1.91
1,1,D,1,1,D,1.85,3.5,4.33,1.85,3.4,4.0,1.75,3.3,4.2,1.73,3.4,4.0,1.7,3.4,4.5,1.73,3.25,4.2
2,2,D,1,0,H,1.8,3.5,4.5,1.85,3.4,4.0,1.75,3.3,4.2,1.73,3.4,4.0,1.75,3.4,4.2,1.73,3.25,4.2
2,2,D,0,1,A,1.91,3.4,4.0,1.95,3.3,3.6,1.9,3.2,3.6,1.91,3.25,3.4,1.9,3.25,3.75,1.95,3.5,3.75
0,2,A,0,1,A,3.6,3.4,2.0,3.3,3.2,2.1,3.1,3.2,2.1,3.2,3.2,2.0,3.2,3.2,2.1,3.1,3.2,2.05
1,0,H,1,0,H,1.91,3.3,4.2,1.9,3.4,3.75,1.8,3.2,4.0,1.8,3.3,3.75,1.9,3.25,3.75,1.83,3.2,3.75
2,5,A,0,1,A,2.35,3.4,2.88,2.4,3.2,2.75,2.4,3.2,2.6,2.2,3.25,2.75,2.35,3.2,2.75,2.3,3.2,2.62
2,1,H,1,0,H,2.5,3.3,2.75,2.5,3.25,2.6,2.5,3.2,2.5,2.38,3.2,2.6,2.4,3.2,2.7,2.38,3.1,2.62
0,1,A,0,0,D,5.5,3.75,1.62,5.0,3.5,1.65,5.0,3.7,1.55,5.0,3.5,1.57,5.5,3.4,1.6,5.0,3.5,1.57
3,3,D,0,0,D,1.73,3.6,4.75,1.75,3.4,4.5,1.75,3.3,4.2,1.62,3.5,4.5,1.7,3.4,4.5,1.62,3.5,4.5
4,1,H,2,0,H,1.5,4.0,6.75,1.5,3.75,6.5,1.5,3.8,5.5,1.44,3.6,6.5,1.45,3.75,6.75,1.4,3.75,7.0
1,1,D,1,0,H,2.25,3.25,3.2,2.3,3.1,3.0,2.25,3.1,2.9,2.2,3.25,2.75,2.2,3.2,3.0,2.2,3.1,2.88
2,1,H,0,0,D,2.1,3.3,3.5,2.1,3.25,3.4,2.1,3.1,3.2,2.0,3.2,3.2,2.1,3.2,3.2,2.1,3.2,3.0
2,0,H,0,0,D,1.53,4.0,6.5,1.55,3.6,6.0,1.55,3.7,5.0,1.53,3.5,5.5,1.5,3.75,6.0,1.44,3.75,6.0
4,2,H,1,2,A,1.57,3.8,5.75,1.6,3.5,5.5,1.5,3.8,5.5,1.53,3.5,5.5,1.65,3.4,5.0,1.57,3.5,5.0
2,3,A,2,1,H,2.3,3.25,3.1,2.2,3.2,3.1,2.2,3.2,2.9,2.2,3.25,2.75,2.15,3.2,3.1,2.15,3.2,2.9
1,1,D,1,1,D,3.4,3.4,2.1,3.25,3.25,2.1,3.0,3.2,2.15,3.0,3.2,2.1,3.25,3.25,2.05,3.25,3.3,1.95
1,0,H,0,0,D,2.2,3.3,3.25,2.15,3.2,3.2,2.1,3.1,3.2,2.1,3.2,3.0,2.15,3.2,3.1,2.1,3.2,3.0
0,0,D,0,0,D,1.3,5.25,10.0,1.3,4.75,9.0,1.3,4.4,8.5,1.29,4.33,9.0,1.3,4.5,9.0,1.29,4.5,8.0
1,1,D,0,1,A,2.05,3.3,3.6,1.9,3.2,4.0,1.8,3.2,4.0,1.83,3.3,3.6,1.85,3.25,3.9,1.95,3.25,3.3
3,0,H,3,0,H,2.6,3.4,2.6,2.5,3.2,2.65,2.5,3.2,2.5,2.4,3.25,2.5,2.5,3.2,2.55,2.62,3.1,2.38
2,0,H,0,0,D,1.44,4.2,7.5,1.45,3.9,7.0,1.4,4.0,6.5,1.4,3.75,7.0,1.5,3.6,6.25,1.44,3.75,6.0
1,1,D,0,1,A,1.91,3.4,4.2,1.95,3.3,3.75,1.9,3.2,3.6,1.91,3.4,4.0,1.9,3.25,3.75,1.95,3.4,3.9
0,3,A,0,2,A,4.0,3.4,1.83,4.25,3.2,1.9,3.3,3.2,2.0,4.0,3.4,1.91,3.9,3.3,1.85,4.0,3.4,1.9
0,2,A,0,0,D,2.1,3.3,3.5,2.1,3.3,3.35,2.0,3.2,3.3,2.0,3.6,3.5,2.0,3.25,3.4,2.05,3.4,3.5
3,0,H,1,0,H,1.5,4.0,7.0,1.5,4.0,6.0,1.45,3.9,6.0,1.53,3.8,6.5,1.5,3.75,6.0,1.5,4.1,6.5
1,3,A,1,0,H,3.2,3.4,2.2,3.1,3.3,2.2,2.7,3.2,2.3,3.1,3.5,2.2,2.9,3.2,2.25,3.2,3.4,2.2
1,2,A,0,0,D,6.5,3.75,1.57,6.0,3.75,1.55,4.8,3.6,1.6,5.5,3.5,1.53,6.25,3.6,1.5,6.0,4.0,1.53
0,1,A,0,0,D,2.62,3.3,2.6,2.6,3.25,2.6,2.5,3.1,2.6,2.4,3.25,2.5,2.5,3.15,2.6,2.7,3.25,2.6
2,0,H,1,0,H,2.1,3.3,3.5,2.0,3.3,3.6,2.0,3.2,3.3,1.91,3.25,3.4,2.0,3.25,3.4,2.1,3.3,3.5
3,0,H,0,0,D,2.0,3.3,3.8,2.0,3.3,3.6,1.9,3.2,3.6,1.8,3.4,3.6,1.8,3.3,4.1,1.95,3.4,3.9
2,0,H,0,0,D,1.8,3.4,4.2,1.85,3.2,4.2,1.8,3.2,4.0,1.73,3.4,4.0,1.85,3.4,3.75,1.83,3.3,3.6
3,1,H,1,1,D,1.17,7.0,15.0,1.17,6.5,15.0,1.17,5.7,12.0,1.2,5.0,11.0,1.2,5.5,12.0,1.25,4.5,10.0
0,2,A,0,0,D,4.5,3.5,1.8,4.5,3.4,1.75,4.0,3.2,1.8,4.0,3.4,1.73,4.5,3.4,1.7,4.33,3.4,1.67
3,0,H,2,0,H,3.25,3.4,2.15,3.1,3.2,2.2,3.1,3.2,2.1,2.8,3.2,2.2,3.2,3.2,2.1,2.88,3.3,2.1
4,1,H,1,1,D,1.5,4.0,6.5,1.53,3.75,6.0,1.45,3.9,6.0,1.44,3.6,6.5,1.45,3.75,6.75,1.57,3.6,4.8
1,3,A,0,1,A,1.53,3.8,6.5,1.53,3.75,6.0,1.55,3.7,5.0,1.57,3.5,5.0,1.6,3.6,5.0,1.53,3.6,5.0
5,1,H,3,0,H,1.75,3.5,4.75,1.7,3.4,4.75,1.8,3.2,4.0,1.67,3.4,4.0,1.7,3.4,4.5,1.67,3.4,4.33
1,1,D,1,1,D,1.55,3.8,6.25,1.53,3.75,6.0,1.5,3.8,5.5,1.5,3.5,6.0,1.6,3.6,5.0,1.53,3.6,5.0
1,2,A,1,1,D,2.1,3.3,3.5,2.1,3.2,3.3,2.1,3.2,3.1,2.1,3.2,3.0,2.2,3.2,3.0,2.05,3.3,3.0
2,1,H,1,1,D,2.3,3.3,3.1,2.3,3.2,3.0,2.2,3.1,3.0,2.1,3.2,3.0,2.05,3.25,3.25,2.25,3.3,3.2
0,2,A,0,1,A,2.1,3.3,3.5,2.15,3.25,3.3,2.1,3.1,3.2,2.0,3.2,3.2,2.0,3.25,3.4,2.0,3.2,3.2
0,0,D,0,0,D,4.33,3.6,1.8,4.25,3.4,1.83,3.6,3.2,1.9,3.75,3.3,1.8,4.0,3.4,1.8,3.6,3.4,1.8
2,1,H,2,0,H,1.8,3.5,4.5,1.83,3.4,4.25,1.9,3.2,3.6,1.73,3.4,4.0,1.8,3.4,4.0,1.73,3.25,4.2
3,3,D,1,3,A,5.0,3.5,1.73,4.75,3.4,1.73,3.9,3.3,1.8,4.0,3.4,1.73,5.0,3.4,1.65,4.2,3.4,1.7
3,0,H,1,0,H,1.25,5.5,12.0,1.3,5.0,9.0,1.33,4.2,8.0,1.29,4.33,9.0,1.3,4.5,9.0,1.29,4.5,8.0
2,2,D,1,0,H,3.1,3.3,2.3,2.9,3.2,2.4,2.5,3.2,2.5,2.75,3.2,2.25,2.7,3.15,2.4,2.62,3.2,2.3
1,0,H,0,0,D,2.7,3.4,2.5,2.65,3.3,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.55,3.2,2.5,2.5,3.1,2.5
1,2,A,1,2,A,2.8,3.3,2.5,2.75,3.2,2.5,2.6,3.0,2.6,2.6,3.2,2.38,2.5,3.15,2.6,2.5,3.1,2.5
1,1,D,0,0,D,1.91,3.3,4.0,1.9,3.4,4.25,1.8,3.2,4.0,1.8,3.2,4.0,1.85,3.3,3.9,1.91,3.4,4.0
1,0,H,0,0,D,2.3,3.3,3.1,2.35,3.25,3.0,2.2,3.2,2.9,2.25,3.2,2.75,2.3,3.15,2.85,2.3,3.2,2.62
4,0,H,3,0,H,1.65,3.75,5.5,1.7,3.6,5.0,1.65,3.5,4.5,1.67,3.4,4.33,1.7,3.55,4.3,1.6,3.4,4.8
2,1,H,0,1,A,2.5,3.3,2.75,2.6,3.3,2.65,2.4,3.1,2.7,2.38,3.2,2.6,2.55,3.15,2.55,2.4,3.1,2.6
3,2,H,2,2,D,2.05,3.4,3.5,2.1,3.3,3.5,1.9,3.3,3.5,2.0,3.2,3.2,2.0,3.4,3.25,2.0,3.4,3.0
2,1,H,2,0,H,2.25,3.25,3.2,2.25,3.25,3.2,2.2,3.2,2.9,2.1,3.2,3.0,2.25,3.15,2.95,2.1,3.2,3.0
2,2,D,0,1,A,6.5,4.0,1.5,6.5,3.75,1.55,5.0,3.7,1.55,6.0,3.75,1.44,5.5,3.9,1.5,6.0,3.4,1.5
0,0,D,0,0,D,1.36,4.5,9.0,1.36,4.5,9.0,1.4,4.0,6.5,1.33,4.0,8.0,1.35,4.2,8.0,1.36,4.0,7.0
3,1,H,2,0,H,1.4,4.2,8.5,1.5,4.0,6.5,1.45,3.9,6.0,1.4,3.75,7.0,1.45,4.0,6.25,1.44,3.75,6.0
0,1,A,0,1,A,3.1,3.3,2.3,3.2,3.2,2.3,3.0,3.1,2.2,3.3,3.3,2.2,3.2,3.2,2.1,3.2,3.2,2.1
4,1,H,2,1,H,1.17,7.0,15.0,1.17,6.5,13.0,1.17,6.0,13.0,1.14,6.0,12.0,1.15,6.0,15.0,1.15,6.0,15.0
2,1,H,0,0,D,5.0,3.6,1.7,4.6,3.5,1.7,4.2,3.3,1.75,4.5,3.3,1.67,4.35,3.5,1.7,4.35,3.5,1.7
2,3,A,0,3,A,2.62,3.3,2.62,2.6,3.1,2.6,2.5,3.0,2.7,2.5,3.25,2.4,2.65,3.15,2.45,2.65,3.15,2.45
4,0,H,2,0,H,2.25,3.4,3.1,2.25,3.1,3.1,2.2,3.2,2.9,2.1,3.2,3.0,2.15,3.2,3.1,2.15,3.2,3.1
1,3,A,0,1,A,3.0,3.5,2.25,3.0,3.3,2.2,2.7,3.2,2.3,2.75,3.25,2.2,2.8,3.3,2.25,2.8,3.3,2.25
3,1,H,3,1,H,1.36,4.75,9.0,1.4,4.0,8.0,1.45,3.7,6.5,1.36,4.0,7.0,1.4,4.1,7.0,1.4,4.1,7.0
4,1,H,0,1,A,2.0,3.4,3.75,1.95,3.3,3.7,1.9,3.3,3.5,1.91,3.2,3.5,1.9,3.4,3.55,1.9,3.4,3.55
2,1,H,1,1,D,2.38,3.4,2.88,2.4,3.3,2.7,2.4,3.2,2.6,2.25,3.2,2.75,2.2,3.3,2.9,2.2,3.3,2.9
2,1,H,1,1,D,1.75,3.5,4.75,1.73,3.4,4.75,1.7,3.4,4.3,1.67,3.25,4.5,1.65,3.4,5.0,1.67,3.4,4.33
3,2,H,3,0,H,1.85,3.4,4.33,1.85,3.3,4.2,1.85,3.2,3.8,1.8,3.3,3.75,1.85,3.1,4.2,1.8,3.3,3.75
3,0,H,2,0,H,1.4,4.33,8.5,1.4,4.2,7.5,1.37,4.1,7.0,1.33,4.33,7.0,1.4,4.0,7.5,1.36,4.0,7.0
0,2,A,0,0,D,2.75,3.3,2.5,2.7,3.2,2.5,2.7,3.2,2.3,2.6,3.2,2.38,2.6,3.2,2.5,2.62,3.1,2.38
1,3,A,0,1,A,1.85,3.4,4.33,1.9,3.3,4.0,1.85,3.2,3.8,1.83,3.2,3.75,1.85,3.4,3.75,1.8,3.3,3.75
5,0,H,3,0,H,1.4,4.5,8.0,1.4,4.2,7.5,1.4,4.0,6.5,1.36,4.0,7.0,1.35,4.3,8.0,1.4,3.75,7.0
1,1,D,1,0,H,3.3,3.25,2.2,3.1,3.25,2.2,2.9,3.2,2.2,3.0,3.2,2.1,3.1,3.2,2.15,2.8,3.2,2.2
0,0,D,0,0,D,2.2,3.3,3.25,2.2,3.25,3.1,2.2,3.2,2.9,2.1,3.2,3.0,2.15,3.2,3.1,2.1,3.2,3.0
2,0,H,0,0,D,2.4,3.3,2.88,2.5,3.2,2.7,2.3,3.2,2.7,2.38,3.25,2.5,2.4,3.1,2.75,2.3,3.2,2.62
2,1,H,0,0,D,1.62,3.8,5.5,1.67,3.75,5.0,1.65,3.5,4.5,1.62,3.75,5.5,1.6,3.6,5.0,1.6,3.8,5.5
0,0,D,0,0,D,3.1,3.3,2.3,3.0,3.3,2.3,2.75,3.1,2.35,2.75,3.25,2.2,2.85,3.2,2.3,2.75,3.2,2.25
0,3,A,0,1,A,3.3,3.25,2.2,3.2,3.3,2.2,3.1,3.2,2.1,3.0,3.2,2.1,3.5,3.2,2.0,3.0,3.2,2.1
4,0,H,2,0,H,2.1,3.3,3.5,2.1,3.3,3.4,2.0,3.2,3.3,1.91,3.2,3.5,2.0,3.2,3.5,1.95,3.25,3.3
1,0,H,0,0,D,5.0,3.6,1.7,4.75,3.6,1.7,4.0,3.4,1.75,4.33,3.4,1.67,4.8,3.5,1.65,4.33,3.4,1.67
1,3,A,0,2,A,4.75,3.5,1.75,4.25,3.5,1.8,3.9,3.3,1.8,4.0,3.4,1.73,4.8,3.5,1.65,4.0,3.4,1.73
1,0,H,0,0,D,1.83,3.4,4.33,1.9,3.3,4.1,1.9,3.2,3.6,1.8,3.3,3.75,1.85,3.4,3.75,1.73,3.4,4.0
1,2,A,0,2,A,3.1,3.3,2.3,2.85,3.3,2.4,2.7,3.2,2.3,2.75,3.2,2.25,2.7,3.2,2.4,2.62,3.2,2.3
2,1,H,1,0,H,1.57,4.0,5.75,1.55,3.8,6.0,1.6,3.6,4.8,1.53,3.5,5.5,1.5,3.75,6.0,1.5,3.6,5.5
2,1,H,1,0,H,1.44,4.2,7.5,1.45,4.25,7.0,1.45,3.9,6.0,1.44,4.0,8.0,1.35,4.2,8.0,1.44,4.2,7.5
1,2,A,0,1,A,2.1,3.3,3.5,2.15,3.25,3.4,2.2,3.2,2.9,2.2,3.25,2.75,2.1,3.2,3.2,2.1,3.2,3.0
1,0,H,0,0,D,1.44,4.2,7.5,1.45,4.0,8.0,1.45,3.9,6.0,1.4,3.75,7.0,1.4,4.0,7.5,1.4,3.75,7.0
1,1,D,1,0,H,1.8,3.5,4.5,1.85,3.4,4.33,1.85,3.2,3.8,1.8,3.3,3.75,1.9,3.25,3.8,1.8,3.3,3.75
4,0,H,1,0,H,1.5,4.0,6.5,1.55,3.75,6.5,1.5,3.8,5.5,1.44,3.6,6.5,1.5,3.75,6.0,1.5,3.4,6.0
1,1,D,0,0,D,1.3,5.0,10.0,1.33,4.75,9.5,1.3,4.4,8.5,1.29,4.5,8.0,1.3,4.75,8.5,1.3,4.33,8.0
2,2,D,1,0,H,3.8,3.3,2.0,3.75,3.3,2.0,3.3,3.2,2.0,3.2,3.2,2.0,3.6,3.2,1.95,3.3,3.25,1.95
2,1,H,1,1,D,2.05,3.5,3.4,2.1,3.5,3.3,2.0,3.2,3.3,1.91,3.25,3.4,2.1,3.2,3.2,2.0,3.2,3.2
1,1,D,0,1,A,2.1,3.4,3.1,2.2,3.25,3.3,2.0,3.2,3.3,2.1,3.2,3.0,2.0,3.2,3.5,2.1,3.2,3.0
1,0,H,1,0,H,3.8,3.4,2.0,3.7,3.4,2.0,3.1,3.2,2.1,3.75,3.4,2.0,3.6,3.15,2.0,3.5,3.4,2.05
1,1,D,1,0,H,2.6,3.25,2.75,2.6,3.2,2.7,2.4,3.2,2.6,2.5,3.3,2.75,2.55,3.1,2.6,2.38,3.1,2.62
1,1,D,1,0,H,3.5,3.3,2.1,3.5,3.3,2.1,2.9,3.2,2.2,3.6,3.25,2.1,3.6,3.15,2.0,2.9,3.2,2.15
1,0,H,1,0,H,3.0,3.25,2.37,3.0,3.25,2.35,2.7,3.2,2.3,2.88,3.3,2.4,2.95,3.1,2.3,2.62,3.2,2.3
2,1,H,1,0,H,1.72,3.5,5.0,1.75,3.4,5.0,1.75,3.3,4.2,1.67,3.5,5.5,1.75,3.3,4.5,1.67,3.4,4.33
2,0,H,1,0,H,1.44,4.5,7.0,1.44,4.33,7.0,1.4,4.0,6.5,1.4,4.33,8.0,1.35,4.3,8.0,1.4,3.75,7.0
